iter	MultiClass
0	0.4054916709
1	0.2216040519
2	0.1356510008
3	0.08779803303
4	0.06133941164
5	0.04646439418
6	0.03827436262
7	0.03376779387
8	0.03028356038
9	0.0281652202
10	0.02685325527
11	0.02542529259
12	0.02483149251
13	0.02432975391
14	0.02418308624
15	0.02393047512
16	0.02352258201
17	0.02337023289
18	0.02326195643
19	0.02254377551
20	0.0223001562
21	0.02216135079
22	0.02208300234
23	0.02183940382
24	0.0217465716
25	0.02150814215
26	0.02136901567
27	0.02126987168
28	0.02113092525
29	0.02105762689
30	0.02099043621
31	0.02084803739
32	0.02075934132
33	0.02052776611
34	0.02040863554
35	0.02029950993
36	0.02020085807
37	0.0200109501
38	0.01985805657
39	0.01964235495
40	0.01954909951
41	0.01948993641
42	0.01938755185
43	0.01928316133
44	0.01922995238
45	0.01916022922
46	0.01910158676
47	0.01905162172
48	0.01885377528
49	0.01881338116
50	0.0187394986
51	0.01862545726
52	0.01852607222
53	0.01839554742
54	0.01834742287
55	0.01829468308
56	0.01822472989
57	0.01811072744
58	0.0180682473
59	0.01796373948
60	0.01792813642
61	0.0178544072
62	0.01782164242
63	0.01773964434
64	0.01768856988
65	0.0176502458
66	0.01761822117
67	0.01754969575
68	0.01740077958
69	0.01727405588
70	0.01717767962
71	0.01708389961
72	0.01706512835
73	0.01697330438
74	0.01687224698
75	0.01680090568
76	0.01666599516
77	0.01657279645
78	0.01648761618
79	0.01639576813
80	0.01635879032
81	0.01629161491
82	0.01625993781
83	0.01621987302
84	0.01618728483
85	0.01616467364
86	0.01610103252
87	0.0160535125
88	0.01601362038
89	0.01593807848
90	0.01589560525
91	0.01579614938
92	0.01575433085
93	0.01573581422
94	0.01558482973
95	0.01552625112
96	0.01549762325
97	0.01541702298
98	0.01532193377
99	0.01523417782
